id,date,city,province,target_name,target_type,incident_type,description,severity,arrests,charges,court_jurisdiction,police_agency,police_file_number,damage_estimate_cad,source,notes
1,2023-10-17,Calgary,AB,Calgary Jewish Community Centre,,egging and anti‑Semitic disturbance,Suspect shouted anti‑Semitic profanities and egged vehicles and Holocaust memorial at the Calgary JCC.,watch,,,,,,,https://globalnews.ca/news/10031951/hate-crimes-investigating-disturbance-calgary-jewish-community-centre/,
2,2023-10-18,Toronto,ON,Cafe Landwer,business,targeted protest,Protesters singled out the Israeli-founded cafe with chants including Zionist cafe and Boycott.,elevated,False,,,,,,https://thecjn.ca/news/man-arrested-after-setting-off-smoke-flare-at-toronto-cafe/,
3,2023-10-22,Vancouver,BC,Israeli hostages poster defacement and threats (Vancouver),,poster defacement / threats / hate crime,Poster of Israeli hostages defaced with antisemitic language; charges later approved against Mircea Iulian Pripoae.,watch,True,,,,,,https://vpd.ca/news/2024/03/12/vpd-investigation-leads-to-charge-in-anti-semitic-hate-crime/,
4,2023-10-29,Calgary,AB,Two Calgary Jewish community organizations (online threats),,threat messages,Police arrested Mohamad Ghandour after threats to Jewish organizations.,watch,True,,,,,,https://globalnews.ca/news/10080420/1-charged-online-threats-calgary/,
5,2023-10-31,Ottawa,ON,Ottawa Jewish Community School,Jewish institution,anonymous threat,The school received an anonymous bomb threat amid a wider series of Ottawa incidents.,watch,False,,,,,,https://ottawa.citynews.ca/2023/11/02/ops-aware-of-threats-made-to-various-institutions-in-ottawa/,
6,2023-11-03,Toronto,ON,TMU silent protest intimidation and harassment incident,campus / Jewish students,"protest intimidation, verbal threats, spitting, security escort","A CIJA-linked court filing said participants in a Silent Protest for Peace & Humanity at TMU were surrounded by students who intimidated and harassed them, spat on the ground in front of them, and one was heard saying 'next time on campus you won't be together.' TMU security escorted the group to safety.",watch,False,,,,,,https://www.cija.ca/tmu_student_suing_university_for_fostering_poisoned_antisemitic_environment,Added as a concrete campus intimidation incident with date-specific allegations in legal filings.
7,2023-11-05,Calgary,AB,Calgary City Hall protest anti‑Semitic phrase incident,,anti‑Semitic chant during protest speech,Speaker at pro‑Palestinian protest used anti‑Semitic phrase; police charged Wesam Cooley.,low,True,,,,,,https://globalnews.ca/news/10077392/man-arrested-causing-disturbance-anti-semitic-phrase-middle-east-protest/,
8,2023-11-07,Dollard-des-Ormeaux,QC,Congregation Beth Tikvah,synagogue,Molotov cocktail thrown at entrance,Security footage showed a Molotov cocktail thrown around 1 a.m. at the entrance of Congregation Beth Tikvah in Dollard-des-Ormeaux. The device caused minor damage and formed part of the same overnight wave that also struck the nearby Federation CJA West Island office.,elevated,False,,,Service de police de la Ville de Montréal (SPVM),,,https://thecjn.ca/news/molotov-cocktail-discoveries-in-dollard-lead-jewish-leaders-to-call-for-increased-security-and-antisemitism-awareness-in-montreal/,"The CJN published Nov. 7, 2023 and described the attack as having occurred early Tuesday morning, which was Nov. 7; user-supplied date was Nov. 2, but source-backed chronology indicates Nov. 7. Kept the exact source-backed incident date."
9,2023-11-07,Dollard-des-Ormeaux,QC,Federation CJA - West Island office,community institution,Incendiary device / Molotov-related attack at office building,An overnight attack also targeted the West Island office of Federation CJA across from Congregation Beth Tikvah in Dollard-des-Ormeaux. Reporting described the remains of a second Molotov cocktail or incendiary device discovered at the building during the same apparent coordinated attack.,elevated,False,,,Service de police de la Ville de Montréal (SPVM),,,https://thecjn.ca/news/molotov-cocktail-discoveries-in-dollard-lead-jewish-leaders-to-call-for-increased-security-and-antisemitism-awareness-in-montreal/ ; https://apnews.com/article/49a8dace464e0b83def53ed21725bbe0,The primary source indicates the same early-morning timeframe as the Beth Tikvah incident. AP later described the 2023 incident as causing minor damage to the back door.
10,2023-11-08,Montreal,QC,Concordia University Jewish student event / security,campus,clash with injuries and arrest,A clash between pro-Palestinian and Jewish students led to one arrest and three minor injuries.,elevated,True,Assaulting a security guard,Quebec / Montreal (exact court not specified in source used),,,,https://thecjn.ca/news/clash-at-concordia/,
11,2023-11-09,Montreal,QC,United Talmud Torahs of Montreal,Jewish institution,school targeted by bullets,One of two Jewish schools struck in the Nov. 9 overnight shootings.,elevated,True,"Series-linked charges including discharging a firearm at a location knowing a person might be inside (Nov. 12 incident), theft / receiving stolen vehicles, and mischief tied to the Nov. 9 shootings",Quebec Court / Montreal courthouse,,,,https://montreal.citynews.ca/2025/02/20/montreal-police-arrests-school-shooting/,
12,2023-11-09,Montreal,QC,Yeshiva Gedola of Montreal,Jewish institution,school targeted by bullets,Yeshiva Gedolah was hit in the Nov. 9 overnight shootings.,critical,True,"Series-linked charges including discharging a firearm at a location knowing a person might be inside (Nov. 12 incident), theft / receiving stolen vehicles, and mischief tied to the Nov. 9 shootings",Quebec Court / Montreal courthouse,,,,https://montreal.citynews.ca/2025/02/20/montreal-police-arrests-school-shooting/,
13,2023-11-10,Toronto,ON,Indigo Books (Bay & Bloor),business,postering and red-paint defacement,"Toronto police said suspects glued posters to the doors and windows of the Indigo bookstore at Bay and Bloor and poured red paint on the windows and sidewalk. Police treated the investigation as a suspected hate-motivated offence tied to the Jewish founder and CEO, Heather Reisman.",watch,True,"Mischief over $5,000; conspiracy to commit an indictable offence; criminal harassment","Ontario Court of Justice, Toronto",Toronto Police Service,,,https://toronto.citynews.ca/2023/11/30/police-lay-additional-charges-in-hate-motivated-vandalism-probe-at-toronto-indigo/ ; https://toronto.citynews.ca/2025/03/27/charges-dropped-indigo-bookstore-defacement/,"This is the underlying November 10, 2023 vandalism event that later produced the 'Indigo 11' arrests and court proceedings."
14,2023-11-12,Montreal,QC,Yeshiva Gedola of Montreal,Jewish institution,second shooting,A second shooting struck Yeshiva Gedolah days after the Nov. 9 attacks.,critical,True,Ahmed: discharging a firearm at a location knowing a person might be inside; theft; receiving stolen vehicles; mischief. Joseph: recklessly discharging a firearm at a location knowing a person might be inside; vehicle theft; possession of stolen property,Quebec Court / Montreal courthouse,,,,https://thecjn.ca/news/second-arrest-made-in-relation-to-montreal-jewish-school-shooting/,
15,2023-11-15,Vancouver,BC,Unnamed Vancouver Jewish day school,Jewish institution,repeated antisemitic approach / Nazi salute,"A man reportedly appeared repeatedly at a Vancouver Jewish day school, uttering antisemitic comments and giving a Nazi salute.",watch,False,,,,,,https://thecjn.ca/news/antisemitism-audit-2024/,
16,2023-12-15,Ottawa,ON,Ottawa Jewish persons (terror plot arrest),Jewish individuals,explosive-linked terror instruction plot,RCMP arrested and charged an unnamed Ottawa youth with facilitating terrorist activity by communicating instructional material related to an explosive substance and instructing a person to carry out terrorist activity against Jewish persons.,watch,True,Facilitation of terrorist activity by communicating instructional material related to an explosive substance; knowingly instructing a person to carry out terrorist activity against Jewish persons,Ottawa area youth court,Royal Canadian Mounted Police (RCMP),,,https://www.rcmp-grc.gc.ca/en/news/2023/ottawa-youth-arrested-terrorism-offences,Youth Criminal Justice Act prevents naming the accused.
17,2024-01-15,Toronto,ON,Jewish-owned deli (name not publicly specified),Western civilian target,sign fire,A Toronto deli whose sign read IDF was targeted in a suspected antisemitic fire incident.,watch,False,,,,,,https://thecjn.ca/news/not-that-idf/,
